Name,CI
pik_10_10_25,"(0.553979600185041, 0.5610146516553159)"
pik_100_100_10,"(0.5597342308514845, 0.566759446109721)"
pik_25_25_25,"(0.5568818762421331, 0.5639120856613606)"
pik_25_25_100,"(0.559484019628183, 0.5665096823281375)"
pik_10_10_50,"(0.5630371034556616, 0.570056243566712)"
pik_100_100_100,"(0.5590336416948107, 0.5660601052526301)"
pik_25_25_10,"(0.5536793716213317, 0.5607149102122513)"
pik_50_50_50,"(0.5600344855080441, 0.5670591614589772)"
pik_50_50_100,"(0.558733391359218, 0.5657603855822411)"
pik_10_10_10,"(0.5577826071761158, 0.5648112647460795)"
pik_25_25_50,"(0.556131276026095, 0.5631627608614904)"
pik_10_10_100,"(0.5541797532781509, 0.5612144785667004)"
pik_100_100_50,"(0.5587834329918354, 0.5658103389506239)"
pik_100_100_25,"(0.5651390133525657, 0.5721541237054188)"
pik_50_50_25,"(0.5565816351855765, 0.5636123567115907)"
pik_50_50_10,"(0.5580828534098308, 0.5651109885184992)"
