Name,CI
pk_100_100_25,"(0.5753992534991332, 0.5823928586925085)"
pk_25_25_10,"(0.5743481342163751, 0.5813440829648201)"
pk_10_10_100,"(0.5728966149810597, 0.5798957471844449)"
pk_50_50_10,"(0.568942631642759, 0.5759501254727912)"
pk_50_50_100,"(0.5799042330082096, 0.5868874292191942)"
pk_50_50_50,"(0.5696933705273094, 0.5766993115985186)"
pk_10_10_10,"(0.5684421435900897, 0.5754506635184068)"
pk_10_10_25,"(0.5675412742361459, 0.5745516228592513)"
pk_100_100_10,"(0.5689926806476118, 0.5760000714686349)"
pk_100_100_100,"(0.5777017615488895, 0.5846901206628845)"
pk_100_100_50,"(0.5767507162388761, 0.5837412609650454)"
pk_25_25_100,"(0.5765504978557867, 0.5835414993463981)"
pk_10_10_50,"(0.5675412742361459, 0.5745516228592513)"
pk_25_25_25,"(0.5780020943907885, 0.5849897578233282)"
pk_25_25_50,"(0.5803046899884525, 0.5872869322414034)"
pk_50_50_25,"(0.571995687417729, 0.5789967647373087)"
